,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
48326,7313628543,6900,2006-01-01,chevrolet,trailblazer lt 4x4,like new,6,gas,113000.0,clean,automatic,4wd,SUV,mw
48327,7313615090,5900,2009-01-01,saturn,aura xr,excellent,6,gas,93000.0,clean,automatic,fwd,sedan,mw
48328,7313567999,25300,2014-01-01,toyota,tundra sr5 5.7,excellent,8,gas,111000.0,clean,automatic,4wd,truck,mw
48329,7313527835,11499,2012-01-01,dodge,durango,good,6,gas,141549.0,clean,automatic,4wd,SUV,mw
48330,7313521060,11495,2014-01-01,subaru,xv crosstrek 2.0 premium,good,4,gas,140788.0,clean,automatic,4wd,SUV,mw
48331,7313513279,21995,2016-01-01,ram,1500,excellent,8,gas,129800.0,clean,automatic,4wd,pickup,mw
48332,7313509469,6999,2010-01-01,buick,lucerne,good,6,gas,81619.0,clean,automatic,fwd,sedan,mw
48333,7313508160,10995,2014-01-01,dodge,grand caravan,excellent,6,gas,97700.0,clean,automatic,fwd,mini-van,mw
48334,7313502181,5700,2008-01-01,pontiac,grand prix,excellent,6,gas,131699.0,clean,automatic,fwd,sedan,mw
48335,7313486707,12999,2016-01-01,buick,lacrosse sport,like new,6,gas,56000.0,rebuilt,automatic,fwd,sedan,mw
48336,7313452767,4900,2009-01-01,dodge,journey r/t,good,6,gas,165000.0,clean,automatic,4wd,SUV,mw
48337,7313433493,34955,2019-01-01,toyota,highlander,excellent,6,gas,64753.0,clean,automatic,4wd,SUV,mw
48338,7313433260,34995,2019-01-01,bmw,4-series,excellent,4,gas,36425.0,clean,automatic,4wd,coupe,mw
48339,7313433046,41995,2018-01-01,gmc,yukon,excellent,8,gas,118021.0,clean,automatic,4wd,SUV,mw
48340,7313425284,9400,2012-01-01,dodge,journey r/t awd,excellent,6,gas,127000.0,clean,automatic,4wd,SUV,mw
48341,7313422769,10900,2013-01-01,gmc,terrain,excellent,4,gas,101000.0,clean,automatic,fwd,SUV,mw
48342,7313422245,6850,2013-01-01,ford,c-max energi,excellent,4,hybrid,120150.0,clean,automatic,fwd,hatchback,mw
48343,7313421083,12950,2013-01-01,honda,crv,excellent,4,gas,120000.0,clean,automatic,4wd,SUV,mw
48344,7313420428,31900,2018-01-01,ford,f150,excellent,8,gas,69000.0,clean,automatic,4wd,truck,mw
48345,7313419887,17500,2009-01-01,toyota,tacoma,excellent,6,gas,144000.0,clean,automatic,4wd,truck,mw
48346,7313418361,29600,2014-01-01,toyota,sequoia limited,excellent,8,gas,116000.0,clean,automatic,4wd,SUV,mw
48347,7313417903,8950,2011-01-01,chevrolet,equinox lt,excellent,4,gas,107000.0,clean,automatic,fwd,SUV,mw
48348,7313417437,13300,2013-01-01,ford,escape titanium awd,excellent,4,gas,95000.0,clean,automatic,4wd,SUV,mw
48349,7313417094,24400,2014-01-01,ram,sport 4x4,excellent,8,gas,105000.0,clean,automatic,4wd,truck,mw
48350,7313412031,6173,2014-01-01,chrysler,200,like new,4,gas,133791.0,clean,automatic,fwd,sedan,mw
48351,7313410074,15999,2016-01-01,ford,escape titanium,good,4,gas,27797.0,clean,automatic,4wd,SUV,mw
48352,7313394462,36990,2016-01-01,gmc,sierra 2500 hd double cab,good,8,gas,23190.0,clean,other,4wd,pickup,mw
48353,7313388245,29990,2016-01-01,nissan,frontier crew cab pro-4x,good,6,gas,24661.0,clean,automatic,4wd,pickup,mw
48354,7313361133,12995,2014-01-01,subaru,forester 2.5i premium awd,excellent,4,gas,114000.0,clean,automatic,4wd,SUV,mw
48355,7313349243,14800,2015-01-01,ram,1500 tradesman 4x4,excellent,6,gas,146762.0,clean,automatic,4wd,pickup,mw
48356,7313337073,36990,2019-01-01,chevrolet,silverado 1500 ld,good,8,gas,14508.0,clean,other,4wd,pickup,mw
